병명 (영어),병명 (한국어),증상,원인,처방전 1,처방전 2,처방전 3
Apple___Cedar_apple_rust,붉은별무늬병 ,잎에 작은 오렌지색 반점 발생,향나무에서 발생하는 녹균,환기를 잘 시키고 통풍을 개선,감염된 잎 제거,구리 살균제 사용
bottle_gourd___Leaf Spot,잎마름병,잎에 갈색 반점 발생,진균 감염으로 인한 병반,병든 잎 제거 후 주변 환경 청결 유지,보호용 살균제 사용,충 분무제 사용
Cherry___Powdery_mildew,흰가루병,흰색 곰팡이 증상,곰팡이 감염으로 인한 흰가루,충분한 햇빛 제공,감염된 부분 제거,베이킹 소다 물 분무
eggplant___Epilachna Beetle,에필라크나 딱정벌레 피해,잎을 갉아먹는 피해,에필라크나 딱정벌레의 잎 갉아먹음,해충 서식지 제거,잎을 갉아먹는 해충 수작업으로 제거,해충 방제 스프레이 사용
eggplant___Jassid,잎벌레 피해,잎에 작은 흰 반점,잎벌레에 의한 피해,공기 순환 개선,해충 방제 스프레이 사용,피해 잎 제거
Grape___Black_rot,검은무늬병 ,포도에 검은 반점 발생,곰팡이균 감염으로 인한 검은 반점,햇빛을 충분히 제공,병든 포도 제거,구리 살균제 사용
Grape___Esca_(Black_Measles),에스카병 (검은홍역병),포도에 검은 변색 증상,에스카 병균 감염,환기 개선,병든 부위 가지치기,살균제 사용
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),잎마름병 (갈색무늬병),잎에 갈색 반점 발생,이사리옵시스 곰팡이에 의한 감염,환경 청결 유지,감염된 잎 제거,살균제 사용
Peach___Bacterial_spot,세균점무늬병 ,잎에 갈색 병반 발생,세균성 병원균,적절한 물 공급,병든 잎 제거,항생제 스프레이 사용
Pepper_bell___Bacterial_spot,세균점무늬병 ,잎에 갈색 반점 및 점액 발생,세균성 반점균,환경 정리 및 통풍 개선,병든 부분 제거,항생제 스프레이 사용
plant___healthy,건강함,정상적인 건강 상태,건강한 상태,정기적인 물과 비료 공급,적절한 물 공급,병해충 예방
plant___overwartering,과습,잎과 뿌리의 과다 물 공급,과도한 물 공급,배수 개선,물의 양을 줄이기,환경 조정
plant___Powdery Mildew,흰가루병,잎에 흰색 곰팡이,곰팡이균 감염,환기 조절,곰팡이 감염 부위 제거,베이킹 소다 물 분무
plant___Underwatering,"건조, 수분 부족",잎의 말림과 갈변,물 부족으로 인한 스트레스,적절한 물 공급,잎 말림 방지,물 부족 시 보충
Potato___Early_blight,겹무늬병 ,잎에 갈색 반점 발생,진균에 의한 초기 병반,햇빛 충분히 제공,병든 잎 제거,구리 살균제 사용
Potato___Late_blight,역병 ,잎에 검은 반점 및 변색,후기 진균성 병반,환경 조정 및 물 공급 조절,감염된 부위 제거,살균제 사용
ridge_gourd___Pumpkin Caterpillar,호박나방 피해,잎을 갉아먹는 나방의 피해,호박나방의 유충,수분 관리 및 유충 서식지 제거,유충 제거,방제 스프레이 사용
ridge_gourd___Pumpkin Leaf Eating Insect,호박 잎을 먹는 해충 피해,잎을 갉아먹는 곤충 피해,호박 잎을 갉아먹는 곤충,환경 관리,병든 잎 제거,곤충 방제 사용
ridge_gourd___Pumpkin Leaf Eating Insect and Insect Egg Mass,호박 잎을 먹는 해충 및 해충 알 무더기 피해,해충 알 무더기와 곤충 피해,해충의 알 무더기와 곤충,습도 조절,해충 제거,방제 스프레이 사용
ridge_gourd___Pumpkin Leaf Eating Insect and Mite,호박 잎을 먹는 해충 및 진드기 피해,진드기와 곤충의 복합 피해,진드기 및 해충 피해,환경 정비,진드기 및 해충 제거,방제 스프레이 사용
Squash___Powdery_mildew,흰가루병,흰색 곰팡이 병반,흰가루병균 감염,통풍 개선,감염된 부위 제거,베이킹 소다 물 분무
Strawberry___Leaf_scorch,엽소병,잎에 갈색 반점 및 갈변,세균성 감염,환경 청결 유지,병든 잎 제거,항균제 사용
Tomato___Bacterial_spot,세균점무늬병 ,잎에 세균성 반점 발생,세균성 반점균 감염,적절한 온도 유지,병든 잎 제거,항생제 스프레이 사용
